CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,TIPO_HOGAR,MATERIAL_TECHUMBRE,DENSIDAD_HOGAR,CONDICION_DE_HABITABILIDAD
TQRMNOQQWHKNKMCDEHNHB00797108,2023,3,1,1,42,S,27,148,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,97000,1,1.0,1,1.0,,1,48500,2,2.0,2,2.0,,2,156,1,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNORQTHKMLRCDEHJGH00790174,2023,3,1,1,40,S,23,270,2.0,,3.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,220000,4,5.0,5,4.0,,5,"73333,33",3,4.0,5,3.0,,4,276,2,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOQSVHLOPOCDEIJAH00807842,2023,3,1,1,1,S,33,2035,1.0,,5.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,305000,6,,6,6.0,,6,"101666,67",5,,5,5.0,,5,4405,2,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNORPXHJMKTCDEFIAH00781697,2023,3,1,1,43,S,2,776,1.0,,7.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,0,3,673000,9,10.0,10,9.0,,9,"224333,33",9,9.0,9,8.0,,8,2128,1,2,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNOSSRHKNRTCDEIJAH00812823,2023,3,1,1,1,S,33,543,1.0,,4.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,6,955000,10,,10,10.0,,10,"159166,67",7,,7,7.0,,8,1823,1,0,98,0,0,0,Extendido,Material durable,Alto,buena
TQRMNORWWHMKKOCDEIJAH00812824,2023,3,1,1,1,S,33,2091,1.0,,4.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,3,0,3,600000,9,,9,9.0,,9,200000,8,,8,8.0,,8,5072,2,0,98,0,0,0,Nuclear,Material durable,Bajo,buena
TQRMNORXQHMNKMCDEFIAH00808663,2023,3,1,1,43,S,2,1078,1.0,,2.0,1.0,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,,2.0,,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,12.0,,12,0,12,12.0,12,12.0,,12,0,97,0,98,0,0,0,Nuclear,Material durable,Medio,saludables
TQRMNORPQHKOLQCDEIMBF00792662,2023,3,1,1,43,N,36,97,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,271000,5,6.0,6,,6.0,6,"90333,33",4,5.0,4,,5.0,4,106,1,0,98,0,0,0,Nuclear,Material durable,Medio,buena
TQRMNOQTUHLMKTCDEGIBJ00804719,2023,3,1,1,41,N,12,291,1.0,,2.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,,1.0,,1.0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,1,4,0,12,12.0,12,,12.0,12,0,12,12.0,12,,12.0,12,0,2,0,4,0,0,0,Extendido,Material durable,Alto,saludables
TQRMNORVWHLMLOCDEGIBJ00809887,2023,3,1,1,41,N,12,280,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,,2.0,,1.0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,535000,9,9.0,10,,9.0,9,"178333,33",8,8.0,9,,8.0,8,293,2,0,98,0,0,0,Nuclear,Material durable,Alto,buena
